그만 씨부려,그만 말씀해주세요,,,,
입닥쳐 새끼야,조용히해주세요 고객님,,,,
씨발 좋아,ㅎㅎ 좋아,,,,
좋아 씨발,좋아 ㅎㅎ,,,,
좀 꺼져줄래,고생하셨습니다.,,,,규칙
시발 기분좋아,ㅎㅎ 기분좋아요,,,,1. A 열에는 나쁜말을 B 열에는 착한 말을 존댓말로 써주세요
시발 슬퍼,ㅠㅠ 슬퍼요,,,,2
슬퍼 시발,슬퍼요 ㅠㅠ,,,,3. ㅋㅋㅋ 만 쓰지 말아주세요
시발 존나 웃기네,ㅋㅋ 엄청 웃기네요,,,,4. 띄어쓰기와 맞춤법을 신경써주세요
존나 웃기네 시발,엄청 웃기네요 ㅋㅋ,,,,
시발 심심해,아 심심해요,,,,
시발 화나게 하지마라,아 화가나니까 하지마세요,,,,
시발 그만해라,아 그만해주세요,,,,
미췬,저런..,,,,
미췬,저런..,,,,
미친,이런..,,,,
미친넘,멋진분,,,,
미친년,이쁜분,,,,
미친놈,멋진분,,,,
미친새끼,멋진분,,,,
미친스까이,멋진분,,,,
미틴,아,,,,
미틴넘,멋진분,,,,
미틴년,이쁜분,,,,
미틴놈,멋진분,,,,
씨부럴,어...,,,,
씨부렁,어...,,,,
씨부리,어...,,,,
씨불,어...,,,,
씨붕,어...,,,,
"씨브랄,",어...,,,,
씨빠,어...,,,,
씨빨,어...,,,,
씨뽀랄,어...,,,,
씨앙,어...,,,,
씨파,어...,,,,
씨팍,어...,,,,
씨팔,어...,,,,
씨펄,어...,,,,
씸년,저기요,,,,
씸뇬,저기요,,,,
씸새끼,저기요,,,,
씹같,저기요,,,,
씹년,저기요,,,,
씹뇬,저기요,,,,
씹보지,아..,,,,
씹새,아..,,,,
씹새기,아..,,,,
씹새끼,아..,,,,
씹새리,아..,,,,
씹세,아..,,,,
씹쉐,아..,,,,
씹스키,아..,,,,
씹쌔,아..,,,,
씹이,아..,,,,
씹자지,아..,,,,
씹질,아..,,,,
씹창,아..,,,,
씹탱,아..,,,,
씹퇭,젠장,,,,
씹팔,젠장,,,,
씹할,젠장,,,,
씹헐,젠장,,,,
이새끼가 미쳤나,그렇게 하면 되나요,,,,
이새끼가 미쳤나,이렇게 하면 되나요,,,,
이새끼가 미쳤나,진짜요,,,,
존나 어렵네,굉장히 어렵네요,,,,
존나 어렵네,매우 어렵네요,,,,
존나 어렵네 미친,와 매우 어렵네요,,,,
아니 이거 존나 어렵잖아,아 이거 매우 어렵네요,,,,
아니 이거 존나 어려운데,아 이거 매우 어려운데요,,,,
와 시발,오,,,,
지랄하네,위트있으시네요,,,,
지랄하지마,센스있으시네요,,,,
지랄하고있네,센스있으시네요,,,,
지랄맞네,하핫 너무 재밌어요,,,,
지랄,하핫,,,,
왜사냐,건강하세요,,,,
지랄맞은 새끼,재밌으신 분,,,,
죽어라,건강챙기세요,,,,
죽여버려,^^,,,,
죽을래,우와,,,,
죽고싶나,헤헷,,,,
디질래,:),,,,
슈발,헤헤,,,,
야 이 새끼야 답장 좀 하라고,괜찮으시다면 답장해 주실 수 있으신가요,,,,
아 존나 맛없네,여기 음식 맛이 바뀐 것 같아요,,,,
쫄리면 뒈지시던가,무서우시면 그만하셔도 돼요,,,,
ㅅㅂ,하..,,,,
아 ㅈ같네,아.. 너무 힘드네요,,,,
야 이 좆밥 새끼야,저기요,,,,
야 이 새끼야 지금 이걸 나보고 하라고,이걸 제가 해야하는 건가요,,,,
이딴건 너나 해 새끼야,"제가 못할 것 같은데, 이거 좀 해주실 수 있나요?",,,,
이따위로 할거면 하지 마 개놈아,다시 해오세요,,,,
조까,하하,,,,
ㅗ,조용히 해주세요,,,,
존나,정말,,,,
ㅈㄴ,정말,,,,
좆나,정말,,,,
빡치네,걱정이 많습니다,,,,
뒤져,^^,,,,
뒤져라,^^,,,,
개새끼야,저기요,,,,
나대지 마라,가만히 있으셔도 돼요,,,,
ㅁㅊ,와!,,,,
ㅅㅂ 닥쳐,아..조용히해주세요,,,,
개새야,저기요,,,,
또라이새끼야,저기요,,,,
꼴값하고있네,잘하시네요,,,,
개또라이야 ,저기요,,,,
썅,음,,,,
썅놈아,저기요,,,,
짜져라,가만히 있어주세요,,,,
입다물어 새끼야,저기요 조용히 해주세요,,,,
깝치치마 미쳤냐,이런.. 하지마세요,,,,
졸귀,정말 귀엽네요,,,,
존웃,너무 웃겨요,,,,
야 시발 귓구녕 막혔냐,다시 말씀드릴까요,,,,
병신새끼야 니가 거기서 왜 끼어들어,그때는 나 혼자서 처리할 수 있었어,,,,
아 시발 그냥 아가리를 찢어버릴라,잠깐 조용히 해줬으면 좋겠어,,,,
왜 맨날 그 모양이냐 넌,앞으론 더 잘할 수 있을거야,,,,
저 새낀 시도때도 없이 지랄이네,저 친구는 상당히 적극적이네,,,,
아 드럽게 맛없네,제 입맛에 조금 안 맞네요,,,,
드럽게 재미 없네,개그 코드가 나랑 다른 것 같아,,,,
지랄 육갑을 한다,적극적으로 자신의 의견을 표현한다,,,,
시발 왜 갑자기 딴소리야,제가 들은 것과 조금 다른 내용인 것 같아요,,,,
시발 저번이 마지막 수정이라면서,더 이상 수정은 어려울 것 같아요,,,,
니가 디자인을 할 줄 아냐 새끼야,디자인은 제가 전담해서 진행하겠습니다,,,,
어이고 새끼 말이라도 못하면,말씀을 정말 잘하시네요,,,,
새끼야 게임 발로 하냐,오늘 아직 손이 안 풀렸나봐,,,,
개새끼야 눈깔 삐었냐,친구야 잠깐 화면을 놓친 것 같아,,,,
아 돼지새끼 존나 쩝쩝대면서 쳐먹네,배가 많이 고프셨나봐요,,,,
꺼져 이 변태 새끼야,어딜 보세요 많이 불편하네요,,,,
뭘 봐 이 변태 새끼야,그만 보세요 불쾌하네요,,,,
눈깔 찔러버리기 전에 눈 돌려라 이 새끼야,어딜 보세요 많이 불편하네요,,,,
머가리에 똥만 들었냐 이 똥덩어리 같은 새끼야,잘 이해 못하셨으면 다시 말씀 드릴까요,,,,
아 인생 좆같다,인생은 아름다워,,,,
너는 아파도 싸 이 새끼야,아프니까 청춘이다,,,,
이새끼는 진짜 노답이네,힘내세요,,,,
아 진짜 짜증나게 그만좀 지랄해 이새끼야,죄송합니다,,,,
이런 미친새끼가 어따대고 지랄이야,죄송합니다,,,,
야 이 개새끼야 ,저기요,,,,
씨바 새끼가 졸라 나대네,멋진 당신은 정말 적극적이시네요,,,,
미친놈아 저리가,저기 비켜주실래요,,,,
다신 보지 말자 개새끼야,,,,,
씨파새끼야,멋진 당신,,,,
개뼉다구같은 새끼가 왈왈대네 씨발,멋진 당신은 말도 잘하시네요 멋져요,,,,
당신 인생이 글러먹었구만,당신 인생이 멋지네요,,,,
인간말종 같은 놈,멋진 분이시네요,,,,
십장생,약초 같으신 분,,,,
관종이냐,눈길이 가요,,,,
피가 거꾸로 솟는다,혈액 순환이 잘 된다,,,,
호빗,귀여우신 분,,,,
뭐야 씨발?,왜요?,,,,
제기랄,이런,,,,
지랄도 풍년이다,상상력이 뛰어나시네요,,,,
